Date,Open,High,Low,Close,Volume,Ticker
01-01-2014,,,,,,JPM
02-01-2014,42.46087476,42.59923023,42.21328938,42.38805389,15627600,JPM
03-01-2014,42.44628721,42.92689354,42.38803055,42.71571732,14214100,JPM
06-01-2014,43.07983228,43.30557276,42.8395304,42.96332169,17550700,JPM
07-01-2014,43.17449036,43.27643677,42.31522386,42.46814346,17851200,JPM
08-01-2014,42.62835428,42.8977845,42.453587,42.86865616,14687400,JPM
09-01-2014,42.94874677,42.96331093,42.47542382,42.7885437,13242500,JPM
10-01-2014,42.72300998,42.78854735,42.36619757,42.59193802,12694900,JPM
13-01-2014,42.60649611,42.72300667,41.89286856,42.0166626,20711600,JPM
14-01-2014,42.45358107,42.65747666,41.9147207,42.04579544,30272400,JPM
15-01-2014,42.03850293,43.43663232,42.03850293,43.32012177,35186600,JPM
16-01-2014,42.8104043,43.5604411,42.77399526,42.95604324,21689400,JPM
17-01-2014,43.11622963,43.1307938,42.25696321,42.31521988,20997900,JPM
20-01-2014,,,,,,JPM
21-01-2014,42.30066333,42.55552936,41.92928673,42.35891724,19548300,JPM
22-01-2014,42.47543241,42.47543241,41.81277515,41.93656921,15433500,JPM
23-01-2014,41.57248045,41.57976115,40.93167073,41.1210022,26234600,JPM
24-01-2014,40.77873946,41.04088894,40.11608505,40.11608505,26833100,JPM
27-01-2014,40.10880436,40.63310055,39.82480723,40.11608505,23935000,JPM
28-01-2014,40.33455147,41.02633438,40.22532435,40.58942032,18041000,JPM
29-01-2014,40.02143133,40.68408594,39.94132977,40.43650055,25459000,JPM
30-01-2014,40.82970931,41.06273044,40.50930596,40.77873611,17031100,JPM
31-01-2014,40.41465242,40.85884995,40.18163122,40.31270599,18174000,JPM
03-02-2014,40.4146468,40.72048604,39.46799797,39.54809952,28549900,JPM
04-02-2014,39.84666869,40.30542767,39.75928365,40.01415253,20709300,JPM
05-02-2014,40.12338962,40.37825856,39.74473212,40.20349121,19491600,JPM
06-02-2014,40.30541175,41.1792424,40.19618466,41.1282692,20881600,JPM
07-02-2014,41.25207607,41.45596893,40.96807887,41.23022842,23388500,JPM
10-02-2014,41.33944511,41.44867221,41.06273148,41.31760025,14715200,JPM
11-02-2014,41.22292856,41.92199185,41.2010837,41.82004547,18774100,JPM
12-02-2014,41.75452627,42.02395651,41.6234515,41.88560104,13437900,JPM
13-02-2014,41.55791349,42.30795029,41.47781193,42.25697708,16605500,JPM
14-02-2014,42.15502131,42.40260662,42.0530749,42.34435272,13067300,JPM
17-02-2014,,,,,,JPM
18-02-2014,42.249687,42.70844859,42.16230476,42.59193802,14983800,JPM
19-02-2014,42.4972828,42.62835758,41.66714442,41.69626999,18669900,JPM
20-02-2014,41.89287895,42.21328517,41.70355028,41.92929077,12457000,JPM
21-02-2014,41.93656193,42.11860986,41.77635886,41.9511261,16790100,JPM
24-02-2014,41.9584185,42.40261602,41.92929293,42.25697708,16151400,JPM
25-02-2014,42.16231082,42.22056473,41.44868034,41.52878189,17991800,JPM
26-02-2014,41.77636448,41.78364795,40.93894554,41.32488632,23661700,JPM
27-02-2014,41.3467378,41.42683935,40.88069539,41.28120041,16277500,JPM
28-02-2014,41.19381035,41.83461992,41.06273561,41.37585831,18599000,JPM
03-03-2014,40.99719325,41.08457548,40.55299586,40.93165588,19151000,JPM
04-03-2014,41.47053226,41.76909085,41.24479176,41.69626999,17157000,JPM
05-03-2014,41.85646433,42.44630069,41.76908209,42.35163498,17761500,JPM
06-03-2014,42.60651713,43.02886987,42.52641834,42.89051437,19420600,JPM
07-03-2014,43.21817727,43.5458641,43.01428448,43.25458908,18602200,JPM
10-03-2014,43.06526288,43.3128482,42.86865075,43.10895538,16945200,JPM
11-03-2014,43.26915737,43.29100502,42.32979202,42.37348175,19420000,JPM
12-03-2014,42.01667953,42.20600823,41.81278388,42.17687988,17932100,JPM
13-03-2014,42.23512726,42.4827126,41.64529087,41.81277466,17192500,JPM
14-03-2014,41.58703425,41.89287347,41.23021905,41.36129379,18635800,JPM
17-03-2014,41.65985777,42.01667302,41.54334718,41.92929077,13581400,JPM
18-03-2014,42.10405657,42.35164193,41.95841763,42.27882385,12554800,JPM
19-03-2014,42.22785266,42.9123521,42.1550318,42.45359039,21450700,JPM
20-03-2014,42.49727459,44.04832393,42.32979081,43.77161026,33736500,JPM
21-03-2014,44.39058378,44.56535108,43.69152012,43.81531143,35144100,JPM
24-03-2014,43.96094911,44.55806631,43.94638494,44.47068405,25810500,JPM
25-03-2014,44.49980339,44.76923359,44.09929844,44.36872864,24053500,JPM
26-03-2014,44.59446373,44.71097429,43.6114032,43.61868668,22745200,JPM
27-03-2014,43.64781154,44.09200895,42.97787648,43.63324738,24632600,JPM
28-03-2014,43.8444372,44.12115093,43.45849635,43.7206459,14708700,JPM
31-03-2014,44.29591163,44.43426709,44.12842506,44.20852661,15216700,JPM
01-04-2014,44.38329319,44.63087852,43.96094059,44.17939758,14584400,JPM
02-04-2014,44.2380238,44.53113755,44.11345227,44.31863022,14012200,JPM
03-04-2014,44.44319298,44.55310851,44.17206185,44.45051956,11925200,JPM
04-04-2014,44.71433228,44.74364421,43.82033786,43.82766724,16966900,JPM
07-04-2014,43.73973005,43.96689334,43.11686685,43.23411179,18685700,JPM
08-04-2014,43.08756039,43.24877325,42.68453104,43.12419891,16956500,JPM
09-04-2014,43.30739436,43.56386961,42.86772648,43.43196869,15308400,JPM
10-04-2014,43.49058645,43.51989839,42.04700861,42.06166458,29977200,JPM
11-04-2014,40.4348751,41.07239409,39.97322206,40.52280807,47241300,JPM
14-04-2014,40.92585303,40.99180349,39.92194298,40.27367783,31081500,JPM
